Nombre de la API,Nombre de la IU,Descripción,Diccionario de Sinónimos
activeUsers,Usuarios activos,Indica la cantidad de usuarios distintos que visitaron su sitio o usaron su aplicación.,"Usuarios activos, Usuarios en línea, Usuarios conectados, Usuarios presentes, Usuarios vigentes, Usuarios actuales, Usuarios interactivos, Usuarios participativos, Usuarios que interactúan, Usuarios operativos, Usuarios activos"
addToCarts,Agregar a carrito,Indica la cantidad de veces que los usuarios agregaron elementos a sus carritos de compras.,"Agregar al carrito, Añadir a la cesta, Incluir en la compra, Añadir al carrito, Colocar en el carrito, Poner en la cesta, Añadir al carro, Incluir en el carro, Agregar al carro, Meter en el carrito, Agregar a carrito"
averagePurchaseRevenue,Promedio de ingresos por compras,Indica el promedio de ingresos por compras en el grupo de eventos de la transacción.,"Promedio de ingresos por compra, Ingresos medios por compra, ARPPU, Ingreso medio por transacción, Promedio de ventas, Ingresos promedio de compras, Ingreso medio por venta, Ingreso promedio por compra, Ganancia media por compra, Ganancia promedio por compra, Promedio de ingresos por compras"
averagePurchaseRevenuePerUser,Promedio de ingresos de compras por usuario,Los ingresos promedio por compras por usuario activo son los ingresos totales de compras por usuario activo que registró cualquier evento. La métrica de resumen corresponde al período seleccionado.,"Promedio de ingresos por usuario, ARPU, Ingresos medios por usuario, Ingresos promedio por cliente, Promedio de ventas por usuario, Ingreso medio por usuario, Ingreso promedio por cliente, Ingresos medios por cliente, Ganancia media por usuario, Ganancia promedio por usuario, Promedio de ingresos de compras por usuario"
averageSessionDuration,Duración promedio de la sesión,Es la duración promedio (en segundos) de las sesiones de los usuarios.,"Duración media de la sesión, Tiempo promedio de sesión, Duración habitual de sesión, Tiempo medio de sesión, Tiempo típico de sesión, Longitud promedio de sesión, Longitud media de sesión, Tiempo estándar de sesión, Tiempo regular de sesión, Duración típica de sesión, Duración promedio de la sesión"
bounceRate,Porcentaje de rebote,"Es el porcentaje de sesiones que no generaron participación (sesiones menos sesiones que generaron participación) dividido por sesiones. Esta métrica se muestra como una fracción. Por ejemplo, 0.2761 significa que el 27.61% de las sesiones fueron rebotes.","Tasa de rebote, Porcentaje de rebote, Índice de rebote, Ratio de rebote, Porcentaje de abandono, Tasa de abandono, Índice de abandono, Ratio de abandono, Tasa de salida, Índice de salida, Porcentaje de rebote"
checkouts,Confirmaciones de compra,Indica la cantidad de veces que los usuarios iniciaron el proceso de confirmación de la compra. Esta métrica cuenta la cantidad de casos del evento begin_checkout.,"Confirmaciones de compra, Finalización de compra, Check-outs, Confirmación de pedidos, Finalización de pedidos, Realización de compras, Realización de pedidos, Compras completadas, Pedidos completados, Confirmación de ventas, Confirmaciones de compra"
conversions,Conversiones,"Es el registro de eventos de conversión. Los eventos se marcan como conversiones en el momento de la recopilación. A partir de ese momento, se aplican los cambios que se realicen en la marca de conversiones de un evento. Puedes marcar cualquier evento como conversión en Google Analytics, y algunos eventos (es decir, first_open y purchase) se marcan como conversiones de forma predeterminada. Para obtener más información, consulta el artículo Acerca de las conversiones.","Conversiones, Transacciones completadas, Acciones realizadas, Resultados obtenidos, Ventas realizadas, Compras completadas, Eventos de conversión, Acciones de conversión, Transacciones exitosas, Resultados de conversión, Conversiones"
ecommercePurchases,Compras de comercio electrónico,"Indica la cantidad de veces que los usuarios completaron una compra. Esta métrica cuenta los eventos de purchase, mientras que no registra los eventos de in_app_purchase ni de suscripción.","Compras electrónicas, Transacciones de e-commerce, Ventas en línea, Compras en línea, Transacciones electrónicas, Compras digitales, Ventas electrónicas, Transacciones online, Compras web, Ventas digitales, Compras de comercio electrónico"
engagedSessions,Sesiones que generaron participación,"Indica la cantidad de sesiones que duraron más de 10 segundos, tuvieron un evento de conversión o tuvieron 2 o más vistas de pantalla.","Sesiones participativas, Sesiones con interacción, Sesiones activas, Sesiones involucradas, Sesiones comprometidas, Sesiones implicadas, Sesiones interactivas, Sesiones activas, Sesiones comprometidas, Sesiones involucradas, Sesiones que generaron participación"
